player_name,player_id,team,pa,batting_avg,hit,home_run,rbi,strikeout,walk,slg_percent,on_base_percent,on_base_plus_slg,woba,hard_hit_percent,k_percent,bb_percent
Andy Ibáñez,628451,Athletics,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.333,0.333,0.231,,,
Austin Wynns,642851,Athletics,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Brent Rooker,667670,Athletics,13.0,0.077,1.0,0.0,1.0,8.0,0.0,0.077,0.077,0.154,0.099,,,
Carlos Cortes,666126,Athletics,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
Darell Hernaiz,687231,Athletics,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,
Denzel Clarke,672016,Athletics,9.0,0.111,1.0,0.0,1.0,6.0,0.0,0.111,0.111,0.222,0.127,,,
J.T. Ginn,669372,Athletics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Jacob Wilson,805779,Athletics,13.0,0.154,2.0,0.0,0.0,5.0,0.0,0.231,0.154,0.385,0.0,,,
Jeff McNeil,643446,Athletics,9.0,0.125,1.0,0.0,0.0,3.0,1.0,0.125,0.222,0.347,0.198,,,
Lawrence Butler,671732,Athletics,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
Max Muncy,691777,Athletics,12.0,0.167,2.0,1.0,2.0,6.0,0.0,0.417,0.167,0.584,0.111,,,
Nick Kurtz,701762,Athletics,13.0,0.111,1.0,0.0,0.0,7.0,4.0,0.111,0.385,0.496,0.231,,,
Shea Langeliers,669127,Athletics,13.0,0.5,6.0,3.0,6.0,4.0,1.0,1.25,0.538,1.788,0.975,,,
Tyler Soderstrom,691016,Athletics,13.0,0.167,2.0,0.0,1.0,6.0,1.0,0.25,0.231,0.481,0.317,,,
Billy Cook,695257,Pittsburgh Pirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Brandon Lowe,664040,Pittsburgh Pirates,14.0,0.417,5.0,3.0,4.0,1.0,2.0,1.25,0.5,1.75,0.566,,,
Bryan Reynolds,668804,Pittsburgh Pirates,15.0,0.214,3.0,0.0,1.0,7.0,1.0,0.214,0.267,0.481,0.336,,,
Henry Davis,680779,Pittsburgh Pirates,10.0,0.25,2.0,0.0,2.0,0.0,2.0,0.375,0.4,0.775,0.393,,,
Jake Mangum,663968,Pittsburgh Pirates,10.0,0.222,2.0,0.0,0.0,3.0,0.0,0.333,0.222,0.555,0.433,,,
Jared Triolo,669707,Pittsburgh Pirates,15.0,0.154,2.0,0.0,0.0,1.0,1.0,0.231,0.267,0.498,0.216,,,
Joey Bart,663698,Pittsburgh Pirates,3.0,0.333,1.0,0.0,0.0,1.0,0.0,0.333,0.333,0.666,0.297,,,
Marcell Ozuna,542303,Pittsburgh Pirates,10.0,0.111,1.0,0.0,0.0,1.0,1.0,0.111,0.2,0.311,0.158,,,
Nick Gonzales,693304,Pittsburgh Pirates,15.0,0.286,4.0,0.0,3.0,5.0,1.0,0.357,0.333,0.69,0.395,,,
Nick Yorke,694377,Pittsburgh Pirates,7.0,0.2,1.0,0.0,0.0,1.0,2.0,0.2,0.429,0.629,0.178,,,
Oneil Cruz,665833,Pittsburgh Pirates,11.0,0.2,2.0,0.0,0.0,6.0,1.0,0.2,0.273,0.473,0.148,,,
Ryan O'Hearn,656811,Pittsburgh Pirates,15.0,0.429,6.0,1.0,3.0,3.0,1.0,0.643,0.467,1.11,0.458,,,
Spencer Horwitz,687462,Pittsburgh Pirates,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,
Bryce Johnson,669369,San Diego Padres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Fernando Tatis Jr.,665487,San Diego Padres,12.0,0.182,2.0,0.0,1.0,3.0,1.0,0.182,0.25,0.432,,,,
Freddy Fermin,666023,San Diego Padres,7.0,0.167,1.0,0.0,0.0,2.0,1.0,0.167,0.286,0.453,0.226,,,
Gavin Sheets,657757,San Diego Padres,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,
Jackson Merrill,701538,San Diego Padres,12.0,0.182,2.0,0.0,1.0,3.0,1.0,0.273,0.25,0.523,0.238,,,
Jake Cronenworth,630105,San Diego Padres,12.0,0.273,3.0,0.0,0.0,3.0,1.0,0.273,0.333,0.606,0.28,,,
Luis Campusano,669134,San Diego Padres,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,
Manny Machado,592518,San Diego Padres,12.0,0.25,2.0,0.0,0.0,2.0,4.0,0.375,0.5,0.875,0.411,,,
