player_id,player_name,plateAppearances,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
669224,Austin Wells,4,2,0,0,1,0,0.667,0.75,0.667,1.417
519317,Giancarlo Stanton,4,2,0,1,0,1,0.5,0.5,0.5,1.0
650333,Luis Arraez,4,1,0,0,1,0,0.333,0.5,0.333,0.833
665862,Jazz Chisholm Jr.,4,1,0,0,0,0,0.333,0.5,0.333,0.833
641857,Ryan McMahon,4,1,0,2,1,2,0.333,0.5,0.333,0.833
676609,José Caballero,4,1,0,1,0,0,0.25,0.25,0.25,0.5
646240,Rafael Devers,4,1,0,0,0,0,0.25,0.25,0.25,0.5
671218,Heliot Ramos,4,1,0,0,0,2,0.25,0.25,0.25,0.5
700250,Ben Rice,5,1,0,0,1,2,0.25,0.4,0.25,0.65
641355,Cody Bellinger,5,1,0,0,0,2,0.2,0.2,0.2,0.4
663757,Trent Grisham,5,1,0,2,0,1,0.2,0.2,0.6,0.8
642715,Willy Adames,4,0,0,0,0,1,0.0,0.0,0.0,0.0
664056,Harrison Bader,3,0,0,0,0,2,0.0,0.0,0.0,0.0
672275,Patrick Bailey,3,0,0,0,0,1,0.0,0.0,0.0,0.0
656305,Matt Chapman,4,0,0,0,1,0,0.0,0.25,0.0,0.25
592450,Aaron Judge,5,0,0,0,0,4,0.0,0.0,0.0,0.0
808982,Jung Hoo Lee,4,0,0,0,0,0,0.0,0.0,0.0,0.0
669477,Casey Schmitt,4,0,0,0,0,0,0.0,0.25,0.0,0.25
