player_name,player_id,team,ip,strikeout,walk,k_percent,bb_percent,hard_hit_percent,whiff_percent,k_minus_bb_percent,era,whip
Elvis Alvarado,665660,Athletics,1.0,2.0,2.0,,,,50.0,,18.0,3.0
Elvis Alvarado,665660,Athletics,1.0,2.0,2.0,,,,0.0,,18.0,3.0
Hogan Harris,663687,Athletics,2.0,0.0,2.0,,,,20.0,,0.0,2.0
Hogan Harris,663687,Athletics,2.0,0.0,2.0,,,,33.3,,0.0,2.0
J.T. Ginn,669372,Athletics,3.2,2.0,1.0,,,,,,0.0,0.55
Jeffrey Springs,605488,Athletics,5.1,2.0,3.0,,,,55.6,,3.38,1.5
Jeffrey Springs,605488,Athletics,5.1,2.0,3.0,,,,0.0,,3.38,1.5
Justin Sterner,686993,Athletics,0.2,0.0,0.0,,,,0.0,,13.5,4.5
Justin Sterner,686993,Athletics,0.2,0.0,0.0,,,,33.3,,13.5,4.5
Luis Medina,665622,Athletics,0.1,1.0,1.0,,,,100.0,,0.0,6.0
Luis Medina,665622,Athletics,0.1,1.0,1.0,,,,25.0,,0.0,6.0
Luis Morales,806960,Athletics,4.1,5.0,2.0,,,,,,10.38,1.62
Luis Severino,622663,Athletics,5.0,3.0,3.0,,,,8.3,,3.6,1.2
Luis Severino,622663,Athletics,5.0,3.0,3.0,,,,20.0,,3.6,1.2
Luis Severino,622663,Athletics,5.0,3.0,3.0,,,,11.1,,3.6,1.2
Luis Severino,622663,Athletics,5.0,3.0,3.0,,,,0.0,,3.6,1.2
Luis Severino,622663,Athletics,5.0,3.0,3.0,,,,50.0,,3.6,1.2
Mark Leiter Jr.,643410,Athletics,0.2,0.0,0.0,,,,,,13.5,3.0
Michael Kelly,547184,Athletics,1.1,1.0,0.0,,,,0.0,,6.75,1.5
Michael Kelly,547184,Athletics,1.1,1.0,0.0,,,,33.3,,6.75,1.5
Michael Kelly,547184,Athletics,1.1,1.0,0.0,,,,50.0,,6.75,1.5
Scott Barlow,605130,Athletics,2.2,1.0,1.0,,,,50.0,,0.0,1.13
Scott Barlow,605130,Athletics,2.2,1.0,1.0,,,,0.0,,0.0,1.13
Carmen Mlodzinski,669387,Pittsburgh Pirates,4.1,8.0,0.0,,,,,,4.15,1.38
Dennis Santana,642701,Pittsburgh Pirates,3.0,2.0,2.0,,,,0.0,,0.0,0.67
Dennis Santana,642701,Pittsburgh Pirates,3.0,2.0,2.0,,,,20.0,,0.0,0.67
Dennis Santana,642701,Pittsburgh Pirates,3.0,2.0,2.0,,,,33.3,,0.0,0.67
Dennis Santana,642701,Pittsburgh Pirates,3.0,2.0,2.0,,,,50.0,,0.0,0.67
Gregory Soto,642397,Pittsburgh Pirates,2.1,5.0,1.0,,,,0.0,,0.0,0.43
Gregory Soto,642397,Pittsburgh Pirates,2.1,5.0,1.0,,,,83.3,,0.0,0.43
Gregory Soto,642397,Pittsburgh Pirates,2.1,5.0,1.0,,,,33.3,,0.0,0.43
Hunter Barco,682995,Pittsburgh Pirates,1.0,0.0,1.0,,,,0.0,,18.0,4.0
Isaac Mattson,676755,Pittsburgh Pirates,1.2,3.0,2.0,,,,18.8,,10.8,3.0
Isaac Mattson,676755,Pittsburgh Pirates,1.2,3.0,2.0,,,,33.3,,10.8,3.0
José Urquidy,664353,Pittsburgh Pirates,1.0,0.0,1.0,,,,,,0.0,2.0
Justin Lawrence,664875,Pittsburgh Pirates,1.2,2.0,2.0,,,,25.0,,10.8,2.4
Justin Lawrence,664875,Pittsburgh Pirates,1.2,2.0,2.0,,,,0.0,,10.8,2.4
Mason Montgomery,682254,Pittsburgh Pirates,2.1,5.0,3.0,,,,26.7,,7.71,2.57
Mason Montgomery,682254,Pittsburgh Pirates,2.1,5.0,3.0,,,,50.0,,7.71,2.57
Mitch Keller,656605,Pittsburgh Pirates,6.0,3.0,0.0,,,,5.9,,0.0,0.5
Mitch Keller,656605,Pittsburgh Pirates,6.0,3.0,0.0,,,,11.1,,0.0,0.5
Mitch Keller,656605,Pittsburgh Pirates,6.0,3.0,0.0,,,,37.5,,0.0,0.5
Mitch Keller,656605,Pittsburgh Pirates,6.0,3.0,0.0,,,,0.0,,0.0,0.5
Paul Skenes,694973,Pittsburgh Pirates,0.2,1.0,2.0,,,,0.0,,67.5,9.0
Paul Skenes,694973,Pittsburgh Pirates,0.2,1.0,2.0,,,,14.3,,67.5,9.0
Paul Skenes,694973,Pittsburgh Pirates,0.2,1.0,2.0,,,,50.0,,67.5,9.0
Yohan Ramírez,670990,Pittsburgh Pirates,4.0,5.0,2.0,,,,33.3,,0.0,0.75
